CustID,account_id,account_type,creditor,account_owner,int_rate,credit_limit,balance,utilization,open_date,closed_date,report_date,current_delq,worst_dlq
C100824,A800290,revolving,TrendingClub,individual,0.087245413,5700,1505.864653,0.264186781,7/8/12,,5/30/14,<30DPD,<30DPD
C100899,A129234,instalment,ABC Bank,individual,0.078505717,,,,1/8/14,,5/30/14,<30DPD,>90DPD
C100899,A962939,revolving,ABC Bank,individual,0.089496487,3500,948.4738678,0.270992534,4/30/13,,5/29/14,<30DPD,60-90DPD
C100972,A712313,revolving,Rhyme,individual,0.080603826,2400,1382.88337,0.576201404,4/14/14,,5/31/14,>90DPD,>90DPD
C101094,A55707,revolving,Bank of XYZ,individual,0.090749811,4700,0,0,3/25/14,,5/29/14,<30DPD,<30DPD
C101094,A992943,mortgage,Bank of XYZ,individual,0.060088472,,,,5/3/12,,5/30/14,<30DPD,<30DPD
C101094,A740386,revolving,Bank of XYZ,joint,0.090597857,5400,4164.066201,0.77112337,4/23/13,,5/30/14,<30DPD,<30DPD
C101094,A165102,revolving,Lord_P2P,individual,0.08975476,6500,6175,0.95,9/8/13,,5/29/14,<30DPD,<30DPD
C101094,A489277,mortgage,Bank of XYZ,individual,0.059932759,,,,9/7/13,,5/31/14,<30DPD,30-60DPD
C101132,A12101,mortgage,Cooperative Capital,individual,0.059796149,,,,4/25/12,,5/29/14,30-60DPD,30-60DPD
C101132,A997170,revolving,Rhyme,individual,0.09490384,5300,4491.484921,0.847449985,10/11/12,,5/30/14,60-90DPD,60-90DPD
C101132,A697500,revolving,Bank of XYZ,individual,0.087503452,,,,6/8/12,5/6/14,5/31/14,,<30DPD
C101132,A701319,instalment,Cooperative Capital,individual,0.08092405,,,,1/27/14,,5/31/14,<30DPD,<30DPD
C101182,A605476,revolving,ABC Bank,joint,0.097070738,2200,605.3385221,0.275153874,12/12/13,,5/29/14,<30DPD,<30DPD
C101182,A424394,revolving,Rhyme,joint,0.092024305,1800,1548.358107,0.860198948,2/17/14,,5/31/14,<30DPD,<30DPD
C101182,A163681,revolving,Bank of XYZ,individual,0.09313999,7900,3871.173587,0.490021973,7/28/13,,5/31/14,<30DPD,<30DPD
C101251,A135948,revolving,ABC Bank,individual,0.087189889,7200,4692.987928,0.651803879,5/11/14,,5/30/14,<30DPD,<30DPD
C101564,A261488,revolving,ABC Bank,individual,0.090361525,4400,2863.369739,0.65076585,7/10/13,,5/29/14,<30DPD,<30DPD
C101564,A958059,revolving,Bank of XYZ,individual,0.088580244,2300,1502.257147,0.653155281,5/12/14,,5/29/14,60-90DPD,>90DPD
C101574,A483091,instalment,ABC Bank,individual,0.075993338,,,,2/7/13,,5/30/14,<30DPD,<30DPD
C101574,A683336,revolving,ABC Bank,individual,0.091472626,7400,646.4980748,0.087364605,2/3/14,,5/30/14,<30DPD,<30DPD
C101621,A252390,instalment,ABC Bank,individual,0.080336721,,,,4/6/13,,5/31/14,<30DPD,<30DPD
C101621,A489360,mortgage,ABC Bank,individual,0.059367456,,,,9/21/09,,5/29/14,<30DPD,<30DPD
C101938,A171998,revolving,Bank of XYZ,individual,0.091534238,3600,2103.488717,0.584302421,8/9/13,,5/31/14,<30DPD,<30DPD
C101938,A944886,revolving,ABC Bank,individual,0.09575637,5700,4198.186432,0.736523936,10/25/13,,5/29/14,<30DPD,<30DPD
C101938,A339054,revolving,Bank of XYZ,individual,0.085825415,7300,3026.051967,0.414527667,5/20/14,,5/29/14,>90DPD,>90DPD
C101938,A186177,revolving,ABC Bank,individual,0.092459932,6700,1553.360563,0.23184486,4/11/14,,5/30/14,<30DPD,30-60DPD
C102275,A120983,mortgage,Lord_P2P,individual,0.061930692,,,,12/26/13,,5/29/14,<30DPD,<30DPD
C102291,A888097,revolving,Rhyme,individual,0.087347257,7400,5749.288838,0.776930924,3/21/14,,5/29/14,<30DPD,<30DPD
C102291,A357831,revolving,Lord_P2P,individual,0.086180669,6500,4984.530028,0.766850774,3/4/14,,5/29/14,<30DPD,<30DPD
C102380,A611466,revolving,Uprise,individual,0.088086708,1100,577.4635673,0.524966879,4/10/14,,5/29/14,60-90DPD,60-90DPD
C102380,A924252,revolving,Bank of XYZ,individual,0.090918706,5300,717.2907518,0.135337878,10/30/13,,5/30/14,<30DPD,<30DPD
C102503,A781988,instalment,Bank of XYZ,individual,0.081402945,,,,2/28/14,,5/30/14,<30DPD,<30DPD
C102576,A288242,revolving,ABC Bank,individual,0.093165571,3700,685.1185251,0.185167169,2/28/14,,5/29/14,<30DPD,<30DPD
C102576,A105571,revolving,Cooperative Capital,individual,0.091663243,4600,3751.992389,0.815650519,11/2/12,,5/31/14,<30DPD,<30DPD
C102576,A766224,revolving,Bank of XYZ,individual,0.089411373,2800,1789.472918,0.639097471,7/29/12,,5/29/14,<30DPD,<30DPD
C102655,A545482,revolving,Bank of XYZ,individual,0.094608657,4800,0,0,8/27/12,,5/30/14,<30DPD,<30DPD
C102655,A139940,mortgage,TrendingClub,individual,0.060876832,,,,6/17/04,,5/31/14,<30DPD,<30DPD
C102655,A436693,revolving,ABC Bank,individual,0.085560802,2600,2234.542492,0.85943942,4/8/13,,5/29/14,<30DPD,<30DPD
C102655,A710532,revolving,Rhyme,individual,0.091884858,7200,5075.733378,0.704962969,10/21/12,,5/29/14,30-60DPD,30-60DPD
C102655,A326667,revolving,Bank of XYZ,individual,0.094698237,6300,0,0,8/1/13,,5/31/14,<30DPD,<30DPD
C102673,A322240,revolving,Uprise,individual,0.087763921,5100,814.408226,0.159687887,11/25/12,,5/30/14,<30DPD,<30DPD
C102692,A136864,revolving,Bank of XYZ,individual,0.086638476,7700,5998.608107,0.779040014,9/27/13,,5/31/14,<30DPD,<30DPD
C102692,A248234,instalment,Rhyme,individual,0.080324423,,,,9/10/13,,5/29/14,30-60DPD,30-60DPD
C102708,A259332,revolving,Lord_P2P,individual,0.08985489,7900,2390.143231,0.302549776,7/18/12,,5/31/14,<30DPD,<30DPD
C102708,A867826,revolving,Bank of XYZ,individual,0.094193721,7100,3892.151048,0.548190288,4/20/14,,5/31/14,<30DPD,<30DPD
C102708,A971115,revolving,ABC Bank,individual,0.087125456,6800,4254.25146,0.625625215,7/23/13,,5/31/14,>90DPD,>90DPD
C102767,A944101,revolving,Bank of XYZ,individual,0.091946629,1100,529.552552,0.481411411,5/12/14,,5/29/14,<30DPD,<30DPD
C102767,A323907,revolving,Bank of XYZ,joint,0.090585674,3700,2446.65855,0.661259068,12/13/12,,5/30/14,<30DPD,<30DPD
C102767,A382595,revolving,Bank of XYZ,individual,0.089187105,7900,4728.785897,0.598580493,3/1/14,,5/29/14,60-90DPD,60-90DPD
C102767,A213513,instalment,ABC Bank,individual,0.082112669,,,,10/1/12,,5/30/14,<30DPD,<30DPD
C102767,A154339,revolving,Cooperative Capital,individual,0.092399833,6000,3422.059457,0.570343243,2/19/14,,5/29/14,60-90DPD,>90DPD
C102767,A670408,revolving,ABC Bank,individual,0.092125293,2500,1029.940574,0.41197623,9/3/12,,5/31/14,30-60DPD,30-60DPD
C102888,A792618,revolving,Bank of XYZ,individual,0.098383823,1100,833.6047231,0.757822476,3/13/14,,5/30/14,<30DPD,<30DPD
C102888,A695259,revolving,TrendingClub,individual,0.086300134,4300,2065.223176,0.48028446,10/16/13,,5/30/14,<30DPD,<30DPD
C102888,A553838,revolving,Rhyme,individual,0.091809024,2600,1104.557889,0.424829957,8/16/13,,5/31/14,<30DPD,<30DPD
C103101,A692463,revolving,Uprise,individual,0.099272656,3400,2316.624119,0.681360035,9/2/13,,5/30/14,>90DPD,>90DPD
C103101,A989747,revolving,Bank of XYZ,individual,0.088908231,6200,0,0,10/23/13,,5/31/14,<30DPD,<30DPD
C103146,A495949,revolving,Bank of XYZ,individual,0.090782252,6000,1037.135844,0.172855974,7/21/13,,5/31/14,<30DPD,<30DPD
C103146,A887249,mortgage,ABC Bank,individual,0.059889871,,,,8/29/08,,5/29/14,30-60DPD,30-60DPD
C103146,A174861,revolving,Cooperative Capital,individual,0.089686335,2300,1401.926509,0.609533265,4/7/14,,5/31/14,<30DPD,<30DPD
C103146,A646856,mortgage,Lord_P2P,individual,0.060806235,,,,8/22/05,,5/31/14,<30DPD,<30DPD
C103207,A437386,revolving,ABC Bank,individual,0.091171106,7700,2146.100152,0.278714305,10/5/13,,5/30/14,<30DPD,<30DPD
C103207,A106517,revolving,Cooperative Capital,individual,0.089589153,6200,1820.983322,0.293706987,12/26/13,,5/29/14,30-60DPD,30-60DPD
C103207,A514212,revolving,ABC Bank,individual,0.100758915,6300,5551.804046,0.881238737,10/2/13,,5/29/14,30-60DPD,30-60DPD
C103235,A734068,revolving,Uprise,individual,0.080719456,3200,809.3366262,0.252917696,8/26/13,,5/31/14,60-90DPD,60-90DPD
C103235,A472327,revolving,Lord_P2P,individual,0.091297176,4800,2515.481649,0.524058677,9/24/12,,5/31/14,<30DPD,<30DPD
C103235,A177729,revolving,Lord_P2P,joint,0.088664732,4800,1727.421532,0.359879486,7/27/13,,5/29/14,<30DPD,<30DPD
C103363,A426942,revolving,ABC Bank,individual,0.088068419,2300,784.6071835,0.341133558,8/11/12,,5/30/14,<30DPD,<30DPD
C103363,A753242,revolving,ABC Bank,individual,0.082163605,5800,4703.851968,0.81100896,1/24/13,,5/31/14,<30DPD,<30DPD
C103363,A445884,revolving,Bank of XYZ,individual,0.092260561,1200,574.5254261,0.478771188,7/2/12,,5/30/14,30-60DPD,30-60DPD
C103387,A596700,revolving,Bank of XYZ,individual,0.091540386,5300,1596.295976,0.30118792,3/18/13,,5/30/14,<30DPD,<30DPD
C103387,A481499,revolving,Uprise,individual,0.087011306,2700,927.8181283,0.343636344,3/28/13,,5/30/14,<30DPD,<30DPD
C103387,A34386,revolving,Bank of XYZ,individual,0.09262116,5800,3929.686918,0.677532227,1/3/13,,5/31/14,30-60DPD,30-60DPD
C103387,A808940,revolving,Cooperative Capital,individual,0.092927302,1000,667.6462163,0.667646216,2/26/14,,5/31/14,<30DPD,<30DPD
C103604,A659907,instalment,Rhyme,individual,0.07906497,,,,3/16/14,,5/31/14,60-90DPD,60-90DPD
C103604,A747795,revolving,Bank of XYZ,individual,0.090568598,3000,2254.100046,0.751366682,11/26/12,,5/30/14,<30DPD,60-90DPD
C103604,A697490,revolving,ABC Bank,individual,0.090698809,6600,3232.3065,0.489743409,8/3/12,,5/31/14,<30DPD,<30DPD
C103604,A397054,revolving,ABC Bank,individual,0.090815603,3600,1658.972132,0.460825592,7/12/12,,5/30/14,60-90DPD,60-90DPD
C103734,A289679,revolving,Bank of XYZ,joint,0.093414147,3200,1694.545289,0.529545403,3/15/13,,5/30/14,<30DPD,<30DPD
C103734,A533885,revolving,ABC Bank,individual,0.097469813,4000,1284.526529,0.321131632,10/22/12,,5/31/14,60-90DPD,60-90DPD
C103734,A310815,revolving,Cooperative Capital,individual,0.085598609,4100,2642.981788,0.644629704,1/3/14,,5/30/14,<30DPD,<30DPD
C103883,A870805,revolving,ABC Bank,individual,0.090162513,7500,3335.762748,0.444768366,5/13/14,,5/31/14,<30DPD,<30DPD
C103883,A937811,revolving,Cooperative Capital,individual,0.092974553,2400,383.943581,0.159976492,10/3/13,,5/29/14,<30DPD,<30DPD
C103883,A764793,revolving,TrendingClub,individual,0.0934006,6200,4307.823078,0.694810174,9/28/13,,5/30/14,30-60DPD,30-60DPD
C103883,A527477,revolving,Bank of XYZ,individual,0.089017439,4800,2672.743881,0.556821642,12/5/12,,5/30/14,<30DPD,<30DPD
C103883,A766712,instalment,Bank of XYZ,individual,0.08260008,,,,7/16/12,,5/29/14,<30DPD,<30DPD
C103954,A952490,revolving,TrendingClub,individual,0.086225966,7500,2566.213974,0.342161863,6/23/12,,5/30/14,<30DPD,<30DPD
C103954,A782537,revolving,ABC Bank,individual,0.090562871,1400,621.7960711,0.444140051,6/25/12,,5/30/14,<30DPD,<30DPD
C103954,A174408,instalment,Rhyme,individual,0.081869702,,,,12/22/12,,5/29/14,>90DPD,>90DPD
C103955,A419234,revolving,Cooperative Capital,individual,0.089686185,7500,0,0,1/9/13,,5/29/14,<30DPD,<30DPD
C103955,A338648,instalment,Bank of XYZ,individual,0.080654801,,,,5/8/13,,5/31/14,<30DPD,<30DPD
C104061,A850907,revolving,Uprise,individual,0.086746413,2500,1805.226789,0.722090715,2/8/14,,5/29/14,30-60DPD,30-60DPD
C104061,A117390,revolving,Bank of XYZ,individual,0.090396382,2200,2075.107996,0.943230907,12/21/13,,5/30/14,<30DPD,<30DPD
C104077,A370699,revolving,Bank of XYZ,joint,0.094062113,6400,5854.237541,0.914724616,8/26/12,,5/29/14,<30DPD,<30DPD
C104077,A70988,instalment,ABC Bank,individual,0.081594663,,,,9/8/13,,5/29/14,<30DPD,<30DPD
C104077,A127482,revolving,ABC Bank,individual,0.083244484,4800,1767.372903,0.368202688,10/10/13,,5/29/14,<30DPD,<30DPD
C104077,A192626,revolving,TrendingClub,individual,0.091866445,6000,1367.565049,0.227927508,11/8/13,,5/30/14,<30DPD,<30DPD
C104149,A528976,revolving,Bank of XYZ,individual,0.094665945,2400,638.7989028,0.266166209,12/3/12,,5/31/14,<30DPD,<30DPD
C104149,A862898,revolving,Lord_P2P,individual,0.09302883,7000,6650,0.95,5/9/13,,5/30/14,<30DPD,<30DPD
C104222,A593060,revolving,ABC Bank,joint,0.090797523,5300,1331.256758,0.25118052,6/2/13,,5/31/14,<30DPD,<30DPD
C104222,A470953,revolving,ABC Bank,joint,0.093815759,5800,2267.596295,0.390964878,2/17/14,,5/31/14,30-60DPD,60-90DPD
C104222,A242958,revolving,ABC Bank,individual,0.091924915,1700,884.5851642,0.520344214,1/26/13,,5/30/14,60-90DPD,>90DPD
C104222,A669447,revolving,Rhyme,individual,0.091666923,5000,4750,0.95,8/3/12,,5/30/14,<30DPD,<30DPD
C104287,A955324,revolving,Lord_P2P,individual,0.089118877,2400,764.756054,0.318648356,10/7/12,,5/31/14,<30DPD,<30DPD
C104333,A214960,mortgage,Bank of XYZ,individual,0.059260678,,,,7/31/10,,5/31/14,<30DPD,<30DPD
C104333,A163208,revolving,ABC Bank,individual,0.083354309,3600,0,0,2/24/14,,5/31/14,<30DPD,30-60DPD
C104333,A741694,revolving,Cooperative Capital,individual,0.091251177,5000,4750,0.95,8/8/13,,5/31/14,<30DPD,>90DPD
C104505,A637284,instalment,ABC Bank,individual,0.080087152,,,,9/21/13,,5/31/14,<30DPD,<30DPD
C104505,A392204,mortgage,Bank of XYZ,individual,0.060279231,,,,5/27/07,,5/30/14,<30DPD,30-60DPD
C104505,A754395,revolving,TrendingClub,individual,0.091275622,,,,9/28/13,5/30/14,5/31/14,,<30DPD
C104632,A705866,revolving,Bank of XYZ,individual,0.095726071,2500,657.0186166,0.262807447,12/16/13,,5/30/14,<30DPD,<30DPD
C104699,A363159,revolving,ABC Bank,individual,0.095651767,2200,1572.11199,0.714596359,11/23/12,,5/31/14,<30DPD,<30DPD
C104699,A995248,mortgage,Rhyme,individual,0.059359062,,,,1/19/09,,5/31/14,<30DPD,<30DPD
C104699,A305272,revolving,Bank of XYZ,individual,0.095990974,2000,1601.547317,0.800773658,5/4/14,,5/29/14,<30DPD,<30DPD
C104721,A232779,revolving,Cooperative Capital,individual,0.090706561,2100,1001.837915,0.477065674,11/8/12,,5/31/14,30-60DPD,30-60DPD
C104721,A863884,instalment,Cooperative Capital,individual,0.081801288,,,,8/1/13,,5/30/14,<30DPD,<30DPD
C104860,A319910,revolving,ABC Bank,individual,0.085713874,2000,1900,0.95,9/19/13,,5/29/14,<30DPD,<30DPD
C104860,A452541,revolving,Bank of XYZ,individual,0.095150436,5100,1323.170186,0.259445135,9/5/13,,5/31/14,30-60DPD,30-60DPD
C104860,A720046,revolving,Cooperative Capital,individual,0.08190874,1500,517.3744424,0.344916295,7/2/13,,5/31/14,>90DPD,>90DPD
C104860,A416116,instalment,Bank of XYZ,individual,0.080003088,,,,6/4/12,,5/29/14,30-60DPD,30-60DPD
C104860,A292470,revolving,ABC Bank,individual,0.094394639,3200,935.7813944,0.292431686,7/12/12,,5/29/14,<30DPD,<30DPD
C104860,A51025,revolving,Bank of XYZ,individual,0.088548707,5200,3194.03352,0.614237215,11/20/13,,5/29/14,<30DPD,<30DPD
C104873,A496414,instalment,Bank of XYZ,individual,0.07899327,,,,7/14/13,,5/29/14,<30DPD,30-60DPD
C104873,A133930,revolving,ABC Bank,individual,0.088682912,2600,1358.96461,0.522678696,11/20/12,,5/29/14,<30DPD,<30DPD
C104873,A106136,instalment,TrendingClub,individual,0.078556203,,,,3/2/14,,5/31/14,<30DPD,<30DPD
C104887,A303312,revolving,Cooperative Capital,individual,0.092704905,6900,3926.320813,0.569032002,8/27/13,,5/29/14,<30DPD,<30DPD
C104887,A453658,revolving,Bank of XYZ,individual,0.088339817,4500,1547.815156,0.343958923,10/15/13,,5/30/14,<30DPD,<30DPD
C104887,A594770,instalment,Uprise,individual,0.080495171,,,,3/18/14,,5/31/14,<30DPD,<30DPD
C104887,A789552,mortgage,ABC Bank,individual,0.060666442,,,,2/18/06,,5/29/14,<30DPD,<30DPD
C104917,A362880,revolving,Rhyme,individual,0.097556954,2900,1125.106103,0.387967622,3/31/13,,5/30/14,<30DPD,<30DPD
C104917,A457695,mortgage,TrendingClub,individual,0.060925898,,,,2/9/14,,5/31/14,<30DPD,<30DPD
C104969,A485742,revolving,TrendingClub,individual,0.09390318,5800,1946.225837,0.335556179,2/1/14,,5/31/14,<30DPD,<30DPD
C104969,A245890,revolving,Bank of XYZ,individual,0.093730458,3800,1834.514326,0.482766928,9/19/12,,5/30/14,60-90DPD,60-90DPD
C104969,A388069,revolving,TrendingClub,individual,0.087859532,,,,3/30/13,3/17/14,5/30/14,,<30DPD
C104969,A130484,revolving,TrendingClub,joint,0.092884493,2300,2185,0.95,5/20/13,,5/29/14,<30DPD,<30DPD
C104978,A711961,revolving,Bank of XYZ,individual,0.085312309,7200,3039.439766,0.422144412,5/12/14,,5/31/14,<30DPD,<30DPD
C104978,A657998,revolving,Rhyme,individual,0.089367166,3700,1495.634147,0.404225445,12/13/13,,5/30/14,<30DPD,<30DPD
C104978,A708336,revolving,ABC Bank,joint,0.091692542,6500,3699.426925,0.569142604,10/28/13,,5/30/14,60-90DPD,>90DPD
C104996,A658684,revolving,Bank of XYZ,individual,0.090269976,7100,0,0,9/2/12,,5/29/14,<30DPD,<30DPD
C104996,A580772,revolving,Bank of XYZ,individual,0.089154763,7600,2988.173545,0.39318073,2/2/13,,5/29/14,<30DPD,<30DPD
C104996,A181131,revolving,ABC Bank,individual,0.084276126,3800,3610,0.95,3/2/13,,5/30/14,<30DPD,<30DPD
C104996,A329464,instalment,ABC Bank,individual,0.076255973,,,,9/7/13,,5/31/14,30-60DPD,30-60DPD
C104996,A572352,revolving,ABC Bank,individual,0.09535511,7600,4939.177193,0.649891736,8/21/13,,5/31/14,>90DPD,>90DPD
C104996,A410614,revolving,ABC Bank,individual,0.09345487,3600,2175.030304,0.604175084,8/29/12,,5/29/14,<30DPD,<30DPD
C105310,A220515,instalment,ABC Bank,individual,0.077078311,,,,6/6/13,,5/30/14,<30DPD,<30DPD
C105310,A295356,revolving,Uprise,individual,0.091214463,1200,1094.905492,0.912421243,10/14/13,,5/29/14,<30DPD,<30DPD
C105323,A453162,revolving,ABC Bank,individual,0.092566221,4000,801.6460566,0.200411514,3/19/13,,5/30/14,<30DPD,<30DPD
C105796,A282307,revolving,TrendingClub,individual,0.089679202,7700,4463.227102,0.579639883,10/29/12,,5/30/14,>90DPD,>90DPD
C105796,A843662,instalment,ABC Bank,individual,0.079706554,,,,5/17/13,,5/30/14,<30DPD,<30DPD
C105801,A443212,revolving,ABC Bank,joint,0.084963227,4500,2886.756246,0.641501388,11/1/13,,5/30/14,<30DPD,<30DPD
C105801,A992362,revolving,Uprise,individual,0.095240129,6800,153.8439403,0.022624109,8/30/13,,5/31/14,<30DPD,30-60DPD
C105801,A721804,mortgage,ABC Bank,individual,0.059201408,,,,9/9/10,,5/31/14,>90DPD,>90DPD
C105844,A244832,revolving,Rhyme,individual,0.085556697,2200,139.9419202,0.063609964,3/28/14,,5/30/14,<30DPD,<30DPD
C105844,A103084,revolving,Rhyme,individual,0.094381643,6300,1266.871434,0.201090704,10/5/12,,5/30/14,<30DPD,<30DPD
C105844,A379419,revolving,Bank of XYZ,individual,0.093146571,7600,1985.371625,0.261233109,12/12/12,,5/29/14,<30DPD,30-60DPD
C105874,A677660,revolving,ABC Bank,individual,0.090110109,5100,2258.574752,0.442857794,3/21/13,,5/31/14,<30DPD,<30DPD
C105874,A979160,revolving,TrendingClub,individual,0.091259588,2200,467.2007034,0.212363956,6/19/12,,5/30/14,<30DPD,<30DPD
C105877,A79728,revolving,ABC Bank,individual,0.093857109,5900,3806.918809,0.645240476,1/10/14,,5/30/14,<30DPD,<30DPD
C105877,A410775,revolving,ABC Bank,joint,0.091687947,4700,1315.801395,0.279957744,8/9/12,,5/30/14,<30DPD,<30DPD
C105877,A131144,revolving,Bank of XYZ,individual,0.085699468,3900,2521.566137,0.64655542,12/9/13,,5/29/14,30-60DPD,30-60DPD
C105877,A802132,revolving,TrendingClub,individual,0.089769608,1300,681.8595947,0.524507381,1/25/14,,5/31/14,<30DPD,<30DPD
C105877,A744551,revolving,Uprise,joint,0.088145383,4300,3912.457941,0.90987394,7/15/12,,5/31/14,<30DPD,<30DPD
C105877,A249968,revolving,Bank of XYZ,individual,0.086936743,3000,2231.034555,0.743678185,11/26/13,,5/30/14,<30DPD,<30DPD
C105877,A419077,instalment,Bank of XYZ,individual,0.080126312,,,,4/20/14,,5/29/14,30-60DPD,30-60DPD
C105877,A885884,revolving,Rhyme,individual,0.086542751,,,,11/1/12,7/31/13,5/31/14,,30-60DPD
C105877,A435225,revolving,Bank of XYZ,individual,0.088924286,4600,1925.719872,0.418634755,9/24/13,,5/29/14,<30DPD,<30DPD
C106026,A615275,revolving,Rhyme,individual,0.091372749,3500,947.085038,0.270595725,6/23/13,,5/30/14,<30DPD,<30DPD
C106026,A638329,revolving,Bank of XYZ,individual,0.088036084,5300,1808.528566,0.341231805,11/13/12,,5/30/14,<30DPD,<30DPD
C106030,A666774,revolving,ABC Bank,individual,0.087087482,4600,3815.651829,0.829489528,4/16/14,,5/29/14,<30DPD,<30DPD
C106030,A383053,revolving,Uprise,individual,0.09237814,2900,1354.627893,0.467113067,1/2/13,,5/29/14,60-90DPD,60-90DPD
C106030,A978169,revolving,TrendingClub,individual,0.086433451,6800,5959.917135,0.876458402,2/15/14,,5/29/14,<30DPD,<30DPD
C106030,A401722,revolving,Bank of XYZ,joint,0.091310988,7400,3705.896465,0.50079682,9/16/12,,5/29/14,<30DPD,>90DPD
C106030,A637782,revolving,Bank of XYZ,individual,0.093389172,2300,1040.579143,0.452425714,11/29/13,,5/30/14,<30DPD,<30DPD
C106347,A291132,instalment,Bank of XYZ,individual,0.079115086,,,,7/30/13,,5/29/14,<30DPD,>90DPD
C106347,A537155,revolving,ABC Bank,individual,0.092865488,2900,1370.115821,0.472453731,1/3/14,,5/30/14,30-60DPD,30-60DPD
C106347,A17308,revolving,TrendingClub,individual,0.088064473,7800,5443.247612,0.697852258,11/12/12,,5/31/14,30-60DPD,30-60DPD
C106347,A731100,revolving,TrendingClub,individual,0.087765278,3200,1692.775349,0.528992297,6/22/12,,5/30/14,30-60DPD,30-60DPD
C106347,A538540,instalment,Uprise,individual,0.082509962,,,,8/3/13,,5/29/14,<30DPD,<30DPD
C106374,A252854,revolving,Bank of XYZ,individual,0.089958679,4700,505.3960046,0.107531065,1/16/13,,5/31/14,<30DPD,<30DPD
C106374,A392503,mortgage,Bank of XYZ,individual,0.058678933,,,,12/25/06,,5/30/14,60-90DPD,60-90DPD
C106374,A122960,mortgage,Bank of XYZ,individual,0.060550565,,,,7/26/07,,5/30/14,30-60DPD,30-60DPD
C106374,A367850,revolving,ABC Bank,individual,0.089016129,2100,1995,0.95,11/24/12,,5/29/14,<30DPD,<30DPD
C106405,A77297,revolving,ABC Bank,joint,0.088819912,6400,0,0,11/29/12,,5/30/14,<30DPD,<30DPD
C106405,A396459,revolving,Rhyme,individual,0.087783183,4600,493.8037546,0.107348642,11/23/12,,5/29/14,30-60DPD,30-60DPD
C106538,A87167,revolving,Cooperative Capital,joint,0.086219565,3200,813.103693,0.254094904,12/9/12,,5/30/14,<30DPD,<30DPD
C106538,A787520,instalment,Rhyme,individual,0.078824844,,,,8/24/12,,5/30/14,<30DPD,<30DPD
C106549,A608934,revolving,ABC Bank,individual,0.093613408,4000,813.1149287,0.203278732,10/31/12,,5/31/14,<30DPD,30-60DPD
C106549,A208528,mortgage,TrendingClub,individual,0.059343351,,,,11/1/13,,5/31/14,<30DPD,<30DPD
C106549,A513514,revolving,Lord_P2P,individual,0.097044497,1800,751.6430029,0.417579446,4/2/14,,5/29/14,<30DPD,<30DPD
C106549,A891602,instalment,ABC Bank,individual,0.079588018,,,,11/28/13,,5/31/14,<30DPD,<30DPD
C106549,A235329,revolving,Rhyme,individual,0.086113577,6500,4714.970101,0.725380016,6/4/13,,5/30/14,<30DPD,<30DPD
C106549,A153586,revolving,Uprise,individual,0.089020052,1800,679.9092905,0.377727384,11/5/13,,5/30/14,>90DPD,>90DPD
C106702,A197897,revolving,ABC Bank,individual,0.090144185,1200,103.4718245,0.08622652,12/12/13,,5/30/14,<30DPD,<30DPD
