CustID,app_date,is_bad,annual_income,residential_status,loan_purpose
C129141,8/17/14,0,74700,mortgage,personal loan
C129167,7/19/14,0,26800,rent,personal loan
C129310,7/19/14,0,72000,rent,debt_consolidation
C129332,7/28/14,0,44000,mortgage,debt_consolidation
C129365,8/15/14,0,93800,rent,business
C129425,9/26/14,0,73600,mortgage,business
C129444,9/13/14,1,38400,rent,personal loan
C129659,9/22/14,0,1000,mortgage,debt_consolidation
C129681,7/14/14,0,18300,rent,personal loan
C129727,8/24/14,0,40200,rent,auto
C129790,8/19/14,0,25700,rent,education
C130051,9/7/14,0,30400,mortgage,debt_consolidation
C130189,9/20/14,0,11800,mortgage,personal loan
C130468,9/23/14,0,87700,mortgage,personal loan
C130477,7/7/14,1,6700,rent,personal loan
C130480,8/31/14,0,68700,house_owner,business
C130634,9/15/14,0,19100,mortgage,personal loan
C130766,7/17/14,0,55400,mortgage,personal loan
C130939,7/6/14,0,12200,rent,business
C130976,8/22/14,0,89700,mortgage,education
C131093,8/24/14,0,78800,house_owner,business
C131130,8/23/14,0,29200,rent,debt_consolidation
C131216,8/16/14,0,87700,rent,business
C131285,8/12/14,0,67500,rent,personal loan
C131708,8/22/14,0,26000,rent,debt_consolidation
C131839,9/25/14,0,21600,rent,personal loan
C131938,9/14/14,1,31900,rent,auto
C131980,7/31/14,0,39900,rent,personal loan
C131993,7/22/14,0,71400,house_owner,debt_consolidation
C132204,9/15/14,0,10000,house_owner,business
C132255,7/21/14,0,58900,house_owner,personal loan
C132283,9/26/14,0,23700,rent,personal loan
C132292,9/13/14,0,24900,rent,business
C132304,7/8/14,0,51400,mortgage,personal loan
C132414,9/12/14,0,92900,mortgage,personal loan
C132416,8/25/14,0,65100,house_owner,debt_consolidation
C132430,7/2/14,0,17200,rent,business
C132445,7/19/14,0,50100,house_owner,debt_consolidation
C132591,7/28/14,0,34100,rent,personal loan
C132954,7/13/14,0,71600,house_owner,auto
C133039,9/17/14,0,9100,rent,debt_consolidation
C133139,7/25/14,0,82500,mortgage,auto
C133429,7/22/14,1,44800,house_owner,business
C133627,9/16/14,0,151100,mortgage,personal loan
C133745,7/28/14,0,87000,mortgage,debt_consolidation
C133826,9/21/14,0,49900,rent,personal loan
C133892,9/21/14,0,80400,mortgage,education
C133932,9/24/14,0,20000,rent,personal loan
C133985,8/4/14,0,70400,rent,business
C134105,8/24/14,0,32700,rent,business
C134246,9/2/14,0,20600,mortgage,business
C134251,8/14/14,0,82100,rent,business
C134258,8/3/14,0,33800,rent,personal loan
C134292,8/20/14,1,4500,mortgage,business
C134393,8/21/14,0,114000,house_owner,personal loan
C134465,8/4/14,0,39000,rent,debt_consolidation
C134570,8/27/14,0,16200,rent,personal loan
C134628,8/28/14,0,54500,house_owner,debt_consolidation
C134634,7/13/14,1,38500,house_owner,personal loan
C134738,9/23/14,0,18500,rent,auto
C134796,9/3/14,1,55800,mortgage,debt_consolidation
C134878,9/11/14,0,68700,rent,business
C134929,7/22/14,0,21000,rent,business
C135009,8/1/14,1,47100,rent,business
C135085,8/3/14,0,57700,mortgage,debt_consolidation
C135254,8/19/14,0,8400,mortgage,debt_consolidation
C135305,7/13/14,0,49600,mortgage,debt_consolidation
C135520,7/12/14,0,166800,rent,debt_consolidation
C135523,8/31/14,0,39100,mortgage,personal loan
C135531,9/13/14,0,6800,rent,debt_consolidation
C135590,9/2/14,0,26600,rent,personal loan
C135608,8/14/14,1,108700,house_owner,business
C135709,7/10/14,0,5100,rent,business
C135743,9/2/14,0,19000,rent,business
C135873,9/13/14,0,44700,rent,personal loan
C136005,9/8/14,0,17900,mortgage,personal loan
C136056,7/11/14,0,53800,rent,personal loan
C136076,9/1/14,0,17500,rent,personal loan
C136122,7/9/14,0,41200,rent,auto
C136235,8/7/14,0,48400,mortgage,debt_consolidation
C136262,9/28/14,0,149200,house_owner,business
C136331,8/7/14,0,28700,rent,personal loan
C136381,7/23/14,0,13900,mortgage,personal loan
C136428,7/5/14,0,20900,rent,business
C136487,9/5/14,0,8900,rent,education
C136502,7/3/14,0,45500,rent,auto
C136530,8/1/14,0,80100,rent,business
C136730,9/8/14,0,34700,house_owner,business
C136819,7/2/14,0,26200,rent,personal loan
C136971,7/6/14,0,20800,rent,business
C136976,9/27/14,0,96600,house_owner,personal loan
C137021,8/7/14,0,84100,mortgage,personal loan
C137157,7/11/14,0,54100,rent,business
C137173,8/12/14,0,82100,mortgage,personal loan
C137264,9/1/14,0,47600,rent,personal loan
C137359,8/20/14,0,37100,rent,personal loan
C137414,8/3/14,0,21400,rent,personal loan
C137559,9/18/14,0,19400,house_owner,personal loan
C137601,7/10/14,0,42900,rent,debt_consolidation
C137683,8/12/14,0,101300,mortgage,personal loan
C137710,9/28/14,0,27400,house_owner,business
C137894,8/23/14,0,9900,rent,personal loan
C138080,9/3/14,0,29700,mortgage,personal loan
C138223,9/9/14,0,4800,rent,debt_consolidation
C138392,9/5/14,0,63100,rent,personal loan
C138572,8/8/14,1,24400,rent,business
C138630,9/4/14,0,25600,rent,business
C138683,7/30/14,0,10100,rent,business
C138856,8/24/14,0,107600,rent,business
C138877,9/8/14,0,35700,mortgage,personal loan
C138985,7/19/14,1,19800,mortgage,business
C139242,9/21/14,0,18500,rent,personal loan
C139273,7/8/14,1,24000,house_owner,personal loan
C139323,7/19/14,0,77900,mortgage,personal loan
C139325,7/1/14,0,51900,rent,auto
C139334,9/18/14,0,49800,rent,personal loan
C139411,8/23/14,0,58000,house_owner,business
C139512,8/16/14,0,50200,mortgage,business
C139524,7/12/14,0,104200,rent,auto
C139566,7/29/14,0,93500,mortgage,personal loan
C139571,8/9/14,0,55500,house_owner,auto
C139611,7/20/14,0,29800,mortgage,debt_consolidation
C139645,7/31/14,0,54900,house_owner,personal loan
C139707,8/16/14,0,36900,rent,personal loan
C139725,7/19/14,0,167100,house_owner,personal loan
C139733,7/11/14,1,114800,rent,education
C139796,7/28/14,0,47900,rent,auto
C139799,9/4/14,0,36600,mortgage,business
C139811,7/15/14,0,58200,rent,personal loan
C139833,7/25/14,0,57100,rent,debt_consolidation
C139846,9/18/14,0,4200,rent,auto
C139912,7/22/14,0,113100,house_owner,personal loan
C140024,7/11/14,0,69600,house_owner,business
C140297,7/20/14,0,64500,rent,education
C140373,8/18/14,1,193400,rent,business
C140378,9/17/14,1,21600,rent,business
C140402,7/21/14,0,111600,mortgage,personal loan
C140565,8/28/14,0,72600,mortgage,debt_consolidation
C140676,9/25/14,0,56000,mortgage,business
C140690,9/16/14,0,111300,rent,auto
C140770,8/14/14,1,17200,rent,debt_consolidation
C140787,8/1/14,0,26100,rent,business
C140839,8/8/14,1,5200,rent,personal loan
C140854,8/14/14,1,31800,house_owner,debt_consolidation
C140912,9/19/14,0,19600,house_owner,business
C140950,7/8/14,0,102300,house_owner,auto
C140953,7/6/14,0,40600,mortgage,auto
C141070,8/14/14,0,10900,rent,personal loan
C141275,7/2/14,0,88900,house_owner,debt_consolidation
C141281,9/17/14,0,107500,mortgage,personal loan
C141415,8/15/14,0,74000,mortgage,personal loan
C141425,9/21/14,1,80100,house_owner,auto
C141426,7/14/14,0,16800,house_owner,business
C141456,8/31/14,0,83900,house_owner,business
C141600,8/19/14,0,46200,rent,debt_consolidation
C141723,7/15/14,0,91900,rent,personal loan
C141743,9/16/14,0,46500,mortgage,personal loan
C141912,9/20/14,0,122400,house_owner,business
C141932,7/20/14,0,53800,rent,education
C142208,8/24/14,0,59700,rent,business
C142234,7/31/14,0,13300,rent,personal loan
C142259,9/7/14,0,46200,rent,personal loan
C142327,7/7/14,0,9400,rent,education
C142403,7/9/14,0,48800,rent,personal loan
C142480,9/27/14,0,40700,rent,auto
C142720,8/8/14,0,72900,rent,debt_consolidation
C143004,8/20/14,0,32300,house_owner,business
C143098,7/11/14,1,27500,rent,personal loan
C143203,7/21/14,0,70400,house_owner,auto
C143234,7/18/14,0,6200,mortgage,auto
C143306,9/16/14,0,163300,house_owner,education
C143316,8/23/14,0,134900,mortgage,personal loan
C143416,8/21/14,1,64000,mortgage,business
C143485,9/9/14,1,32400,rent,personal loan
C143506,9/28/14,0,41100,mortgage,personal loan
C143693,8/25/14,0,41000,rent,auto
C143820,9/21/14,1,12700,rent,business
C143881,8/6/14,0,15500,rent,auto
C143898,7/1/14,0,37100,mortgage,business
C144015,9/25/14,0,70400,rent,business
C144030,8/17/14,0,52900,mortgage,auto
C144122,9/24/14,0,65300,house_owner,debt_consolidation
C144124,8/28/14,0,105400,mortgage,business
C144210,7/17/14,0,50200,rent,auto
C144472,7/24/14,0,29300,rent,debt_consolidation
C144610,7/26/14,0,64000,mortgage,business
C144718,7/29/14,0,105700,mortgage,debt_consolidation
C144929,9/26/14,0,31700,rent,personal loan
C144946,8/13/14,0,34300,mortgage,debt_consolidation
C145017,7/15/14,0,58200,house_owner,personal loan
C145021,7/12/14,0,37100,house_owner,business
C145057,7/6/14,0,13100,rent,business
C145074,7/16/14,0,7000,rent,debt_consolidation
C145159,7/28/14,0,45600,rent,business
C145180,7/10/14,0,39300,rent,auto
C145212,7/1/14,0,1900,rent,business
C145283,9/15/14,0,49800,rent,business
C145425,7/23/14,0,43100,rent,personal loan
C145540,9/16/14,0,119900,house_owner,debt_consolidation
C145546,8/23/14,0,10000,rent,personal loan
C145562,8/23/14,0,28000,rent,business
C145616,7/8/14,0,34100,rent,business
C145688,7/1/14,1,80000,rent,business
C145710,8/4/14,0,62300,house_owner,debt_consolidation
C145733,9/24/14,0,31900,rent,auto
C145744,8/3/14,0,55900,house_owner,business
C145843,9/6/14,0,14500,rent,business
C145854,7/25/14,0,35600,rent,personal loan
C145975,8/31/14,1,17600,mortgage,personal loan
C146008,7/10/14,0,22000,rent,education
C146067,8/20/14,0,15300,rent,business
C146218,9/13/14,0,21000,rent,business
C146350,8/30/14,0,63200,rent,personal loan
C146357,7/19/14,0,96000,rent,debt_consolidation
C146394,8/23/14,0,30200,rent,business
C146468,7/15/14,0,35000,house_owner,education
C146658,9/26/14,0,35300,rent,personal loan
C146743,7/24/14,0,25800,rent,personal loan
C146859,8/5/14,0,49200,rent,business
C146877,9/1/14,0,9200,rent,auto
C146910,9/6/14,0,42400,rent,auto
C146966,8/31/14,0,15900,mortgage,auto
C147001,7/27/14,0,10900,rent,business
C147189,8/21/14,1,33800,rent,personal loan
C147347,9/2/14,1,37900,mortgage,business
C147378,9/10/14,0,77200,rent,business
C147644,7/16/14,0,34500,rent,business
C147868,8/12/14,0,33100,rent,personal loan
C147921,7/1/14,0,51800,rent,business
C148026,9/6/14,0,18100,rent,business
C148149,7/15/14,1,77400,mortgage,personal loan
C148198,8/17/14,0,13000,house_owner,debt_consolidation
C148252,7/5/14,0,41200,mortgage,personal loan
C148277,8/6/14,0,124600,rent,debt_consolidation
C148291,8/6/14,0,55600,mortgage,auto
C148530,7/25/14,0,83500,mortgage,debt_consolidation
C148539,8/25/14,0,14200,mortgage,personal loan
C148644,7/4/14,0,117600,mortgage,business
C148974,8/23/14,0,35500,mortgage,personal loan
C149152,8/20/14,0,33100,rent,personal loan
C149155,8/8/14,0,59100,mortgage,personal loan
C149194,9/1/14,0,17500,rent,personal loan
C149265,9/18/14,0,27100,rent,debt_consolidation
C149287,8/7/14,0,105700,rent,personal loan
C149313,7/29/14,0,53600,house_owner,personal loan
C149371,7/16/14,1,71600,rent,business
C149399,9/3/14,1,83800,rent,business
C149431,8/26/14,0,101500,house_owner,personal loan
C149450,9/13/14,0,5600,rent,personal loan
C149481,9/3/14,0,52500,mortgage,business
C149495,9/21/14,1,27400,rent,business
C149602,7/14/14,0,35800,mortgage,personal loan
C149666,7/13/14,1,22600,mortgage,education
C149777,8/8/14,0,65700,rent,personal loan
C149907,8/30/14,0,39800,rent,debt_consolidation
C150077,7/22/14,0,63400,house_owner,auto
C150190,7/26/14,0,58200,rent,education
C150250,7/4/14,0,17600,rent,personal loan
C150286,9/19/14,0,22600,rent,business
C150525,9/11/14,0,262700,rent,business
C150665,9/13/14,0,48700,mortgage,personal loan
C150666,9/9/14,0,85600,house_owner,business
C150795,7/11/14,0,16900,rent,education
C150802,9/15/14,1,5500,rent,education
C150839,9/11/14,0,9100,rent,business
C150910,9/9/14,0,101000,rent,business
C150931,8/22/14,0,79500,mortgage,personal loan
C151035,7/1/14,0,21200,rent,personal loan
C151080,7/15/14,0,27500,mortgage,personal loan
C151109,8/28/14,0,47400,rent,debt_consolidation
C151216,9/9/14,0,21000,rent,education
C151249,7/20/14,1,8700,mortgage,business
C151284,9/28/14,1,22400,rent,business
C151347,9/25/14,1,26400,rent,business
C151410,9/9/14,0,125300,house_owner,debt_consolidation
C151440,8/3/14,0,88300,house_owner,personal loan
C151750,7/28/14,0,29600,mortgage,auto
C151802,7/23/14,0,70300,mortgage,personal loan
C151937,9/9/14,0,55600,house_owner,personal loan
C151995,7/21/14,0,45100,rent,business
C152062,7/10/14,0,97600,mortgage,business
C152078,9/18/14,0,27000,rent,personal loan
C152124,8/1/14,0,75000,mortgage,personal loan
C152160,7/26/14,0,24400,mortgage,personal loan
C152293,9/27/14,0,79100,rent,business
C152336,8/5/14,0,30300,house_owner,debt_consolidation
C152563,9/16/14,0,8500,rent,auto
C152582,9/2/14,0,118100,mortgage,personal loan
C152588,7/18/14,0,32400,rent,personal loan
C152833,9/11/14,0,46400,rent,debt_consolidation
