CustID,inquiry_id,inquiry_date,inquiry_type,report_date,application_decision
C101621,Inq_164779,2014-06-02,revolving,2014-05-31,approved
C101938,Inq_860026,2014-07-05,revolving,2014-05-31,approved
C101938,Inq_976638,2014-06-26,revolving,2014-05-31,approved
C101938,Inq_515799,2014-09-17,mortgage,2014-05-31,approved
C101938,Inq_579503,2014-06-15,revolving,2014-05-31,approved
C101938,Inq_261487,2014-07-08,revolving,2014-05-31,approved
C102275,Inq_601239,2014-08-07,rental_application,2014-05-31,approved
C102275,Inq_669197,2014-08-18,revolving,2014-05-31,approved
C102275,Inq_991720,2014-05-09,revolving,2014-05-31,approved
C102291,Inq_344342,2014-07-14,revolving,2014-05-31,approved
C102291,Inq_303238,2014-06-13,revolving,2014-05-31,approved
C102291,Inq_822408,2014-06-12,revolving,2014-05-31,approved
C102291,Inq_623808,2014-08-03,revolving,2014-05-31,approved
C102291,Inq_702971,2014-08-23,revolving,2014-05-31,denied
C102291,Inq_693948,2014-07-09,revolving,2014-05-31,approved
C102380,Inq_243268,2014-06-01,revolving,2014-05-31,denied
C102380,Inq_158787,2014-09-08,instalment,2014-05-31,approved
C102380,Inq_630666,2014-06-26,rental_application,2014-05-31,approved
C102380,Inq_685597,2014-05-18,revolving,2014-05-31,approved
C102503,Inq_593566,2014-05-05,revolving,2014-05-31,approved
C102576,Inq_389837,2014-04-17,revolving,2014-05-31,approved
C102576,Inq_427093,2014-05-05,instalment,2014-05-31,approved
C102576,Inq_314559,2014-04-29,revolving,2014-05-31,approved
C102655,Inq_381840,2014-07-19,revolving,2014-05-31,approved
C102655,Inq_863772,2014-05-28,revolving,2014-05-31,approved
C102655,Inq_489317,2014-06-03,revolving,2014-05-31,denied
C102655,Inq_596258,2014-06-26,revolving,2014-05-31,denied
C102673,Inq_193281,2014-05-22,revolving,2014-05-31,approved
C102673,Inq_929274,2014-06-17,mortgage,2014-05-31,approved
C102692,Inq_207020,2014-07-28,revolving,2014-05-31,approved
C102692,Inq_868810,2014-06-27,mortgage,2014-05-31,denied
C102708,Inq_220239,2014-05-20,revolving,2014-05-31,approved
C102708,Inq_101414,2014-06-15,mortgage,2014-05-31,approved
C102708,Inq_576180,2014-04-16,rental_application,2014-05-31,denied
C102767,Inq_319873,2014-04-28,revolving,2014-05-31,approved
C102767,Inq_656497,2014-07-12,revolving,2014-05-31,approved
C102767,Inq_580900,2014-04-20,instalment,2014-05-31,approved
C102888,Inq_386115,2014-05-15,revolving,2014-05-31,approved
C102888,Inq_861841,2014-06-23,revolving,2014-05-31,approved
C102888,Inq_325784,2014-05-21,revolving,2014-05-31,approved
C103101,Inq_770135,2014-05-05,rental_application,2014-05-31,approved
C103101,Inq_945444,2014-04-28,rental_application,2014-05-31,approved
C103101,Inq_734955,2014-07-02,instalment,2014-05-31,denied
C103146,Inq_449778,2014-05-02,revolving,2014-05-31,approved
C103207,Inq_415605,2014-04-09,revolving,2014-05-31,denied
C103207,Inq_179810,2014-04-17,rental_application,2014-05-31,approved
C103207,Inq_546297,2014-07-28,revolving,2014-05-31,approved
C103207,Inq_718392,2014-04-21,revolving,2014-05-31,approved
C103207,Inq_293921,2014-06-28,instalment,2014-05-31,approved
C103207,Inq_652873,2014-04-29,revolving,2014-05-31,denied
C103207,Inq_281787,2014-07-23,rental_application,2014-05-31,approved
C103235,Inq_600603,2014-07-18,revolving,2014-05-31,approved
C103235,Inq_998881,2014-09-08,revolving,2014-05-31,approved
C103235,Inq_831680,2014-06-11,revolving,2014-05-31,approved
C103235,Inq_160284,2014-08-11,rental_application,2014-05-31,approved
C103363,Inq_967061,2014-07-21,revolving,2014-05-31,approved
C103363,Inq_644853,2014-06-15,revolving,2014-05-31,approved
C103387,Inq_894881,2014-06-05,mortgage,2014-05-31,denied
C103387,Inq_962010,2014-06-05,rental_application,2014-05-31,denied
C103604,Inq_467378,2014-03-19,revolving,2014-05-31,denied
C103604,Inq_968346,2014-04-27,revolving,2014-05-31,denied
C103604,Inq_186339,2014-03-26,revolving,2014-05-31,approved
C103604,Inq_923879,2014-06-24,revolving,2014-05-31,approved
C103734,Inq_438568,2014-05-10,revolving,2014-05-31,denied
C103734,Inq_436233,2014-08-05,revolving,2014-05-31,approved
C103734,Inq_459850,2014-08-10,revolving,2014-05-31,denied
C103734,Inq_891605,2014-06-22,revolving,2014-05-31,denied
C103734,Inq_825017,2014-07-16,revolving,2014-05-31,denied
C103734,Inq_849335,2014-04-29,mortgage,2014-05-31,approved
C103805,Inq_146920,2014-04-26,revolving,2014-05-31,approved
C103805,Inq_344392,2014-04-28,mortgage,2014-05-31,denied
C103883,Inq_235899,2014-06-05,revolving,2014-05-31,approved
C103883,Inq_358720,2014-05-10,revolving,2014-05-31,approved
C103954,Inq_232310,2014-08-01,rental_application,2014-05-31,approved
C103954,Inq_504635,2014-07-03,revolving,2014-05-31,approved
C103954,Inq_989214,2014-07-01,revolving,2014-05-31,approved
C103954,Inq_906118,2014-05-09,revolving,2014-05-31,approved
C103955,Inq_713732,2014-05-03,revolving,2014-05-31,approved
C103955,Inq_729378,2014-06-14,revolving,2014-05-31,approved
C104061,Inq_705206,2014-04-14,revolving,2014-05-31,approved
C104061,Inq_773991,2014-04-30,revolving,2014-05-31,denied
C104061,Inq_257024,2014-05-19,revolving,2014-05-31,approved
C104077,Inq_833244,2014-08-18,rental_application,2014-05-31,approved
C104077,Inq_857549,2014-05-26,revolving,2014-05-31,approved
C104077,Inq_800210,2014-06-11,mortgage,2014-05-31,approved
C104149,Inq_166639,2014-05-27,rental_application,2014-05-31,approved
C104149,Inq_914514,2014-06-15,revolving,2014-05-31,approved
C104149,Inq_918281,2014-06-17,revolving,2014-05-31,approved
C104166,Inq_809054,2014-06-03,revolving,2014-05-31,approved
C104166,Inq_446528,2014-05-08,revolving,2014-05-31,approved
C104166,Inq_723288,2014-07-08,revolving,2014-05-31,approved
C104166,Inq_532535,2014-05-17,revolving,2014-05-31,denied
C104166,Inq_599161,2014-04-26,revolving,2014-05-31,approved
C104222,Inq_306352,2014-06-07,mortgage,2014-05-31,denied
C104222,Inq_327762,2014-08-11,revolving,2014-05-31,approved
C104287,Inq_908210,2014-07-31,rental_application,2014-05-31,approved
C104287,Inq_559896,2014-05-15,revolving,2014-05-31,approved
C104287,Inq_207008,2014-06-04,revolving,2014-05-31,approved
C104287,Inq_876260,2014-07-31,revolving,2014-05-31,approved
C104333,Inq_485387,2014-04-20,revolving,2014-05-31,approved
C104333,Inq_753468,2014-07-30,revolving,2014-05-31,approved
C104333,Inq_211288,2014-05-02,revolving,2014-05-31,approved
C104333,Inq_362102,2014-06-03,revolving,2014-05-31,denied
C104333,Inq_253867,2014-06-21,revolving,2014-05-31,approved
C104505,Inq_219859,2014-07-31,revolving,2014-05-31,denied
C104505,Inq_712122,2014-07-27,rental_application,2014-05-31,approved
C104505,Inq_896503,2014-07-27,mortgage,2014-05-31,approved
C104505,Inq_958752,2014-08-06,revolving,2014-05-31,denied
C104505,Inq_599815,2014-08-19,revolving,2014-05-31,approved
C104632,Inq_842151,2014-06-15,mortgage,2014-05-31,approved
C104632,Inq_232000,2014-07-23,revolving,2014-05-31,approved
C104632,Inq_917929,2014-07-22,revolving,2014-05-31,approved
C104632,Inq_904430,2014-07-06,mortgage,2014-05-31,approved
C104632,Inq_748168,2014-05-05,revolving,2014-05-31,approved
C104699,Inq_601561,2014-05-29,revolving,2014-05-31,approved
C104699,Inq_873703,2014-04-30,instalment,2014-05-31,approved
C104699,Inq_751675,2014-04-24,revolving,2014-05-31,approved
C104721,Inq_163776,2014-07-26,rental_application,2014-05-31,approved
C104721,Inq_440519,2014-04-10,revolving,2014-05-31,approved
C104721,Inq_738618,2014-07-15,revolving,2014-05-31,approved
C104721,Inq_298499,2014-07-14,revolving,2014-05-31,approved
C104860,Inq_328218,2014-05-20,revolving,2014-05-31,approved
C104873,Inq_176711,2014-05-10,revolving,2014-05-31,approved
C104887,Inq_451300,2014-05-14,instalment,2014-05-31,denied
C104887,Inq_959703,2014-04-08,revolving,2014-05-31,approved
C104887,Inq_821873,2014-06-01,revolving,2014-05-31,approved
C104917,Inq_845636,2014-07-22,revolving,2014-05-31,approved
C104917,Inq_186820,2014-06-04,mortgage,2014-05-31,approved
C104917,Inq_190820,2014-04-16,mortgage,2014-05-31,approved
C104969,Inq_920395,2014-08-01,revolving,2014-05-31,approved
C104969,Inq_955636,2014-08-28,revolving,2014-05-31,approved
C104978,Inq_877312,2014-04-26,revolving,2014-05-31,approved
C104978,Inq_925972,2014-05-26,revolving,2014-05-31,approved
C104978,Inq_525703,2014-07-21,revolving,2014-05-31,approved
C104996,Inq_751623,2014-03-18,revolving,2014-05-31,approved
C104996,Inq_416688,2014-05-20,revolving,2014-05-31,approved
C105310,Inq_301425,2014-07-21,revolving,2014-05-31,approved
C105310,Inq_771546,2014-06-12,rental_application,2014-05-31,approved
C105310,Inq_226275,2014-06-17,mortgage,2014-05-31,approved
C105310,Inq_772612,2014-06-15,revolving,2014-05-31,approved
C105323,Inq_680335,2014-05-14,instalment,2014-05-31,denied
C105323,Inq_509255,2014-05-19,revolving,2014-05-31,approved
C105644,Inq_291574,2014-04-22,revolving,2014-05-31,approved
C105780,Inq_683450,2014-08-16,revolving,2014-05-31,approved
C105796,Inq_681338,2014-06-27,revolving,2014-05-31,approved
C105796,Inq_153715,2014-08-29,revolving,2014-05-31,approved
C105796,Inq_425891,2014-05-27,revolving,2014-05-31,approved
C105796,Inq_380890,2014-09-12,revolving,2014-05-31,approved
C105801,Inq_451658,2014-09-22,revolving,2014-05-31,approved
C105801,Inq_484764,2014-08-01,revolving,2014-05-31,approved
C105844,Inq_890300,2014-04-16,revolving,2014-05-31,approved
C105844,Inq_264153,2014-06-02,revolving,2014-05-31,approved
C105874,Inq_410375,2014-06-24,mortgage,2014-05-31,denied
C105874,Inq_314206,2014-07-25,revolving,2014-05-31,approved
C105877,Inq_682686,2014-06-12,revolving,2014-05-31,approved
C105877,Inq_586897,2014-05-18,rental_application,2014-05-31,denied
C106026,Inq_715913,2014-08-01,revolving,2014-05-31,approved
C106030,Inq_131129,2014-08-15,revolving,2014-05-31,denied
C106030,Inq_821467,2014-08-29,revolving,2014-05-31,approved
C106030,Inq_513492,2014-09-06,revolving,2014-05-31,approved
C106347,Inq_540975,2014-07-28,rental_application,2014-05-31,denied
C106347,Inq_589300,2014-05-26,instalment,2014-05-31,approved
C106374,Inq_646214,2014-03-28,revolving,2014-05-31,denied
C106374,Inq_903394,2014-05-20,revolving,2014-05-31,approved
C106374,Inq_506020,2014-07-11,revolving,2014-05-31,approved
C106405,Inq_807229,2014-06-24,mortgage,2014-05-31,approved
C106405,Inq_513878,2014-07-03,revolving,2014-05-31,approved
C106405,Inq_664168,2014-06-17,revolving,2014-05-31,approved
C106538,Inq_611476,2014-07-24,rental_application,2014-05-31,denied
C106538,Inq_590611,2014-07-09,revolving,2014-05-31,denied
C106538,Inq_600291,2014-07-27,revolving,2014-05-31,approved
C106538,Inq_844682,2014-08-21,revolving,2014-05-31,approved
C106549,Inq_186371,2014-06-29,rental_application,2014-05-31,approved
C106549,Inq_563094,2014-05-29,revolving,2014-05-31,approved
C106549,Inq_344199,2014-08-14,rental_application,2014-05-31,approved
C106549,Inq_177516,2014-07-09,instalment,2014-05-31,approved
C106549,Inq_933513,2014-08-10,revolving,2014-05-31,approved
C106702,Inq_594812,2014-06-29,rental_application,2014-05-31,approved
C106702,Inq_410452,2014-05-14,revolving,2014-05-31,approved
C106702,Inq_242015,2014-04-12,revolving,2014-05-31,approved
C106702,Inq_295229,2014-05-21,mortgage,2014-05-31,approved
C106823,Inq_950236,2014-06-16,revolving,2014-05-31,approved
C106823,Inq_136103,2014-04-17,revolving,2014-05-31,approved
C106889,Inq_753912,2014-07-07,revolving,2014-05-31,approved
C106996,Inq_325175,2014-04-14,revolving,2014-05-31,approved
C106996,Inq_981499,2014-05-12,mortgage,2014-05-31,approved
C106996,Inq_967328,2014-04-10,revolving,2014-05-31,approved
C106996,Inq_518368,2014-04-12,revolving,2014-05-31,approved
C106996,Inq_508974,2014-05-26,revolving,2014-05-31,approved
C107020,Inq_781204,2014-08-24,revolving,2014-05-31,approved
C107020,Inq_446670,2014-07-30,revolving,2014-05-31,approved
C107020,Inq_504394,2014-08-01,revolving,2014-05-31,approved
C107020,Inq_879896,2014-08-22,rental_application,2014-05-31,approved
C107368,Inq_236004,2014-07-15,instalment,2014-05-31,approved
C107368,Inq_828472,2014-05-06,instalment,2014-05-31,approved
C107368,Inq_532825,2014-05-02,revolving,2014-05-31,approved
C107368,Inq_147718,2014-07-07,revolving,2014-05-31,approved
C107377,Inq_272385,2014-06-30,mortgage,2014-05-31,denied
C107529,Inq_562075,2014-06-05,rental_application,2014-05-31,approved
C107529,Inq_364135,2014-08-21,revolving,2014-05-31,approved
C107529,Inq_355962,2014-04-27,rental_application,2014-05-31,denied
C107529,Inq_135392,2014-08-07,revolving,2014-05-31,approved
C107529,Inq_407615,2014-07-31,mortgage,2014-05-31,denied
C107549,Inq_993494,2014-06-03,mortgage,2014-05-31,approved
C107549,Inq_869751,2014-07-18,revolving,2014-05-31,approved
C107549,Inq_419386,2014-06-26,revolving,2014-05-31,approved
C107584,Inq_536724,2014-06-18,revolving,2014-05-31,approved
C107584,Inq_496019,2014-08-24,rental_application,2014-05-31,approved
C107649,Inq_755534,2014-06-27,instalment,2014-05-31,approved
C107649,Inq_600228,2014-06-15,revolving,2014-05-31,approved
C107649,Inq_632049,2014-05-22,revolving,2014-05-31,approved
C107649,Inq_900544,2014-08-12,rental_application,2014-05-31,approved
C107656,Inq_638751,2014-07-31,instalment,2014-05-31,approved
C107656,Inq_993038,2014-08-24,revolving,2014-05-31,approved
C107656,Inq_770700,2014-08-04,rental_application,2014-05-31,approved
C107656,Inq_956933,2014-07-10,mortgage,2014-05-31,denied
C107697,Inq_350182,2014-05-29,revolving,2014-05-31,approved
C107697,Inq_894335,2014-07-17,mortgage,2014-05-31,approved
C107699,Inq_398694,2014-03-25,instalment,2014-05-31,approved
C107699,Inq_406081,2014-04-23,rental_application,2014-05-31,approved
C107699,Inq_267682,2014-06-21,rental_application,2014-05-31,approved
C107699,Inq_645309,2014-04-16,rental_application,2014-05-31,approved
C108014,Inq_508460,2014-07-12,instalment,2014-05-31,approved
C108053,Inq_348653,2014-08-16,revolving,2014-05-31,approved
C108053,Inq_913770,2014-07-26,mortgage,2014-05-31,approved
C108053,Inq_228072,2014-07-09,revolving,2014-05-31,approved
C108053,Inq_726621,2014-07-04,revolving,2014-05-31,approved
C108053,Inq_815138,2014-08-03,revolving,2014-05-31,approved
C108115,Inq_339633,2014-05-05,revolving,2014-05-31,approved
C108115,Inq_970904,2014-07-08,revolving,2014-05-31,approved
C108230,Inq_393623,2014-07-30,revolving,2014-05-31,denied
C108230,Inq_998558,2014-05-27,mortgage,2014-05-31,approved
C108230,Inq_684762,2014-07-03,revolving,2014-05-31,approved
C108436,Inq_146246,2014-03-28,instalment,2014-05-31,approved
C108436,Inq_683964,2014-06-02,revolving,2014-05-31,denied
C108436,Inq_937160,2014-07-14,revolving,2014-05-31,approved
C108436,Inq_629077,2014-07-02,mortgage,2014-05-31,approved
C108436,Inq_425585,2014-03-18,rental_application,2014-05-31,approved
C108436,Inq_923964,2014-05-17,revolving,2014-05-31,approved
C108436,Inq_368218,2014-05-12,revolving,2014-05-31,approved
C108436,Inq_289652,2014-07-12,rental_application,2014-05-31,approved
C108436,Inq_960495,2014-06-06,revolving,2014-05-31,approved
C108842,Inq_605724,2014-05-25,rental_application,2014-05-31,denied
C108842,Inq_592606,2014-06-15,revolving,2014-05-31,approved
C108842,Inq_739130,2014-05-25,rental_application,2014-05-31,approved
C108890,Inq_707918,2014-07-18,revolving,2014-05-31,approved
C108890,Inq_343541,2014-07-12,revolving,2014-05-31,denied
C108890,Inq_549832,2014-07-24,rental_application,2014-05-31,denied
C108890,Inq_649346,2014-07-14,revolving,2014-05-31,approved
C108890,Inq_968103,2014-08-05,revolving,2014-05-31,denied
C108904,Inq_795912,2014-05-23,mortgage,2014-05-31,approved
C108904,Inq_783267,2014-04-30,instalment,2014-05-31,approved
C108904,Inq_545364,2014-05-05,revolving,2014-05-31,approved
C108939,Inq_688364,2014-07-06,revolving,2014-05-31,approved
C109035,Inq_352053,2014-07-02,revolving,2014-05-31,approved
C109035,Inq_902782,2014-05-24,instalment,2014-05-31,approved
C109035,Inq_883098,2014-04-01,revolving,2014-05-31,approved
C109035,Inq_583374,2014-07-12,revolving,2014-05-31,approved
C109035,Inq_898028,2014-05-26,revolving,2014-05-31,approved
C109058,Inq_444663,2014-07-23,revolving,2014-05-31,denied
C109058,Inq_314997,2014-08-25,revolving,2014-05-31,approved
C109129,Inq_970874,2014-06-21,instalment,2014-05-31,approved
C109129,Inq_333130,2014-04-26,revolving,2014-05-31,approved
C109129,Inq_758623,2014-04-29,revolving,2014-05-31,denied
C109129,Inq_489874,2014-07-02,revolving,2014-05-31,denied
C109129,Inq_725697,2014-05-19,revolving,2014-05-31,approved
C109129,Inq_827164,2014-06-26,revolving,2014-05-31,approved
C109142,Inq_180564,2014-05-16,revolving,2014-05-31,approved
C109142,Inq_572008,2014-03-24,revolving,2014-05-31,approved
C109142,Inq_576940,2014-06-07,revolving,2014-05-31,approved
C109142,Inq_173947,2014-04-06,revolving,2014-05-31,approved
C109142,Inq_556541,2014-04-20,revolving,2014-05-31,approved
C109145,Inq_980701,2014-07-31,revolving,2014-05-31,approved
C109145,Inq_603150,2014-04-09,rental_application,2014-05-31,approved
C109145,Inq_667442,2014-06-16,instalment,2014-05-31,approved
C109145,Inq_376466,2014-05-12,revolving,2014-05-31,approved
C109145,Inq_406295,2014-07-26,revolving,2014-05-31,approved
C109145,Inq_912921,2014-05-11,revolving,2014-05-31,approved
C109145,Inq_971295,2014-07-04,revolving,2014-05-31,approved
C109145,Inq_187393,2014-07-01,mortgage,2014-05-31,approved
C109165,Inq_902936,2014-03-26,revolving,2014-05-31,denied
C109165,Inq_292366,2014-06-15,rental_application,2014-05-31,approved
C109165,Inq_470518,2014-06-20,mortgage,2014-05-31,approved
C109194,Inq_442763,2014-04-29,mortgage,2014-05-31,approved
C109194,Inq_460108,2014-05-25,rental_application,2014-05-31,approved
C109194,Inq_384017,2014-05-06,instalment,2014-05-31,denied
C109194,Inq_760687,2014-04-22,revolving,2014-05-31,approved
C109195,Inq_701205,2014-04-17,mortgage,2014-05-31,approved
C109195,Inq_149734,2014-06-26,revolving,2014-05-31,denied
C109293,Inq_379518,2014-08-10,rental_application,2014-05-31,approved
C109293,Inq_742811,2014-07-10,revolving,2014-05-31,denied
C109293,Inq_958093,2014-06-17,revolving,2014-05-31,approved
C109293,Inq_718242,2014-08-16,revolving,2014-05-31,approved
C109293,Inq_873376,2014-07-15,instalment,2014-05-31,approved
C109293,Inq_933585,2014-07-21,rental_application,2014-05-31,approved
C109293,Inq_896792,2014-06-03,rental_application,2014-05-31,approved
C109435,Inq_402943,2014-08-04,revolving,2014-05-31,approved
C109435,Inq_509936,2014-06-29,rental_application,2014-05-31,denied
C109435,Inq_570786,2014-08-08,mortgage,2014-05-31,approved
C109435,Inq_300731,2014-09-17,revolving,2014-05-31,approved
C109435,Inq_319308,2014-06-26,revolving,2014-05-31,approved
C109435,Inq_840854,2014-06-11,revolving,2014-05-31,approved
C109435,Inq_810736,2014-05-28,rental_application,2014-05-31,approved
C109561,Inq_149950,2014-06-29,rental_application,2014-05-31,approved
C109561,Inq_711814,2014-06-13,revolving,2014-05-31,approved
C109561,Inq_177749,2014-09-06,mortgage,2014-05-31,approved
C109723,Inq_549988,2014-08-30,revolving,2014-05-31,approved
C109723,Inq_411770,2014-08-26,mortgage,2014-05-31,denied
C109723,Inq_702615,2014-07-18,revolving,2014-05-31,approved
C109725,Inq_878978,2014-08-08,rental_application,2014-05-31,approved
C109966,Inq_218995,2014-06-17,instalment,2014-05-31,approved
C109966,Inq_226871,2014-06-29,revolving,2014-05-31,approved
C109966,Inq_793328,2014-05-29,revolving,2014-05-31,approved
C109966,Inq_172062,2014-07-22,revolving,2014-05-31,approved
C109966,Inq_739771,2014-06-24,revolving,2014-05-31,approved
C110077,Inq_145169,2014-07-01,revolving,2014-05-31,approved
C110077,Inq_394649,2014-07-22,revolving,2014-05-31,denied
C110077,Inq_446355,2014-07-19,revolving,2014-05-31,approved
C110077,Inq_174154,2014-06-11,rental_application,2014-05-31,approved
C110131,Inq_554520,2014-07-03,revolving,2014-05-31,approved
C110131,Inq_251463,2014-07-19,rental_application,2014-05-31,approved
C110131,Inq_514564,2014-07-06,instalment,2014-05-31,denied
C110214,Inq_849432,2014-05-01,revolving,2014-05-31,approved
C110444,Inq_295713,2014-05-01,revolving,2014-05-31,denied
C110444,Inq_838277,2014-08-14,mortgage,2014-05-31,approved
C110536,Inq_145711,2014-09-10,revolving,2014-05-31,approved
C110536,Inq_201447,2014-08-12,revolving,2014-05-31,approved
C110548,Inq_585616,2014-06-03,revolving,2014-05-31,denied
C110548,Inq_674196,2014-07-15,instalment,2014-05-31,denied
C110548,Inq_650867,2014-07-25,revolving,2014-05-31,denied
C110548,Inq_133212,2014-07-20,revolving,2014-05-31,approved
C110548,Inq_282299,2014-07-20,rental_application,2014-05-31,approved
C110810,Inq_176585,2014-08-24,rental_application,2014-05-31,approved
C110810,Inq_380428,2014-09-20,rental_application,2014-05-31,approved
C110810,Inq_623562,2014-09-21,revolving,2014-05-31,approved
C110810,Inq_562179,2014-07-24,rental_application,2014-05-31,approved
C110860,Inq_945727,2014-06-21,revolving,2014-05-31,denied
C110860,Inq_624220,2014-08-13,revolving,2014-05-31,approved
C110860,Inq_228240,2014-07-02,revolving,2014-05-31,approved
C110904,Inq_566026,2014-07-07,revolving,2014-05-31,approved
C110904,Inq_903262,2014-06-19,revolving,2014-05-31,approved
